Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
6889.0,False,10011.163741269345
6890.0,False,10011.164470781856
6891.0,False,10011.165200107562
6892.0,False,10011.165929245695
6893.0,False,10011.1666581954
6894.0,False,10011.16738695586
6895.0,False,10011.16811552628
6896.0,False,10011.168843905823
6897.0,False,10011.169572093659
6898.0,False,10011.170300088985
6899.0,False,10011.171027890987
6900.0,False,10011.171755498826
6901.0,False,10011.172482911717
6902.0,False,10011.173210128789
6903.0,False,10011.173937149304
6904.0,False,10011.17466397237
6905.0,False,10011.175390597191
6906.0,False,10011.17611702298
6907.0,False,10011.176843248903
6908.0,False,10011.177569274118
6909.0,False,10011.178295097858
6910.0,False,10011.179020719268
6911.0,False,10011.17974613753
6912.0,False,10011.180471351874
6913.0,False,10011.181196361422
6914.0,False,10011.181921165411
6915.0,False,10011.182645763005
6916.0,False,10011.183370153376
6917.0,False,10011.184094335751
6918.0,False,10011.184818309272
6919.0,False,10011.185542073137
6920.0,False,10011.186265626562
6921.0,False,10011.186988968697
6922.0,False,10011.187712098734
6923.0,False,10011.188435015894
6924.0,False,10011.189157719306
6925.0,False,10011.189880208209
6926.0,False,10011.190602481767
6927.0,False,10011.191324539188
6928.0,False,10011.19204637964
6929.0,False,10011.192768002305
6930.0,False,10011.193489406387
6931.0,False,10011.194210591093
6932.0,False,10011.194931555563
6933.0,False,10011.195652299026
6934.0,False,10011.196372820694
6935.0,False,10011.197093119683
6936.0,False,10011.197813195246
6937.0,False,10011.198533046547
6938.0,False,10011.199252672779
6939.0,False,10011.199972073138
6940.0,False,10011.200691246822
6941.0,False,10011.201410193002
6942.0,False,10011.2021289109
6943.0,False,10011.202847399683
6944.0,False,10011.203565658547
6945.0,False,10011.204283686713
6946.0,False,10011.205001483315
6947.0,False,10011.205719047604
6948.0,False,10011.206436378752
6949.0,False,10011.207153475925
6950.0,False,10011.207870338383
6951.0,False,10011.208586965255
6952.0,False,10011.209303355756
6953.0,False,10011.210019509104
6954.0,False,10011.210735424453
6955.0,False,10011.211451101046
6956.0,False,10011.212166538066
6957.0,False,10011.21288173465
6958.0,False,10011.213596690073
6959.0,False,10011.2143114035
6960.0,False,10011.21502587411
6961.0,False,10011.215740101134
6962.0,False,10011.216454083738
6963.0,False,10011.217167821133
6964.0,False,10011.21788131254
6965.0,False,10011.218594557111
6966.0,False,10011.219307554078
6967.0,False,10011.220020302631
6968.0,False,10011.220732801949
6969.0,False,10011.221445051275
6970.0,False,10011.222157049773
6971.0,False,10011.222868796649
6972.0,False,10011.223580291104
6973.0,False,10011.22429153235
6974.0,False,10011.225002519563
6975.0,False,10011.225713251974
6976.0,False,10011.226423728753
6977.0,False,10011.22713394913
6978.0,False,10011.2278439123
6979.0,False,10011.228553617451
6980.0,False,10011.229263063798
6981.0,False,10011.229972250532
6982.0,False,10011.230681176863
6983.0,False,10011.231389842005
6984.0,False,10011.232098245146
6985.0,False,10011.232806385477
6986.0,False,10011.233514262256
6987.0,False,10011.234221874613
6988.0,False,10011.234929221804
6989.0,False,10011.235636303027
6990.0,False,10011.236343117469
6991.0,False,10011.237049664363
6992.0,False,10011.23775594289
6993.0,False,10011.238461952258
6994.0,False,10011.2391676917
6995.0,False,10011.239873160397
6996.0,False,10011.240578357536
6997.0,False,10011.24128328239
6998.0,False,10011.241987934083
6999.0,False,10011.2426923119
7000.0,False,10011.243396415013
7001.0,False,10011.244100242633
7002.0,False,10011.24480379397
7003.0,False,10011.245507068224
7004.0,False,10011.246210064623
7005.0,False,10011.246912782368
7006.0,False,10011.247615220671
7007.0,False,10011.248317378713
7008.0,False,10011.249019255774
7009.0,False,10011.249720850978
7010.0,False,10011.25042216362
